path,y,a,fold
CelebA/img_align_celeba/000012.jpg,1,0,10
CelebA/img_align_celeba/000016.jpg,1,0,6
CelebA/img_align_celeba/000018.jpg,0,1,10
CelebA/img_align_celeba/000021.jpg,0,0,3
CelebA/img_align_celeba/000025.jpg,1,0,3
CelebA/img_align_celeba/000027.jpg,1,1,8
CelebA/img_align_celeba/000032.jpg,0,0,9
CelebA/img_align_celeba/000037.jpg,1,0,8
CelebA/img_align_celeba/000049.jpg,0,0,7
CelebA/img_align_celeba/000052.jpg,0,0,2
CelebA/img_align_celeba/000055.jpg,0,0,9
CelebA/img_align_celeba/000065.jpg,1,0,2
CelebA/img_align_celeba/000066.jpg,0,1,4
CelebA/img_align_celeba/000068.jpg,0,0,9
CelebA/img_align_celeba/000073.jpg,1,1,10
CelebA/img_align_celeba/000074.jpg,1,1,2
CelebA/img_align_celeba/000075.jpg,1,1,2
CelebA/img_align_celeba/000079.jpg,0,0,8
CelebA/img_align_celeba/000083.jpg,1,1,9
CelebA/img_align_celeba/000084.jpg,0,1,7
CelebA/img_align_celeba/000090.jpg,1,0,10
CelebA/img_align_celeba/000094.jpg,0,1,3
CelebA/img_align_celeba/000097.jpg,1,1,5
CelebA/img_align_celeba/000100.jpg,1,1,10
CelebA/img_align_celeba/000104.jpg,1,0,4
CelebA/img_align_celeba/000119.jpg,0,0,4
CelebA/img_align_celeba/000122.jpg,0,1,1
CelebA/img_align_celeba/000123.jpg,1,0,5
CelebA/img_align_celeba/000128.jpg,0,1,4
CelebA/img_align_celeba/000130.jpg,1,0,5
CelebA/img_align_celeba/000132.jpg,1,1,5
CelebA/img_align_celeba/000133.jpg,1,1,3
CelebA/img_align_celeba/000135.jpg,0,0,4
CelebA/img_align_celeba/000137.jpg,1,0,1
CelebA/img_align_celeba/000138.jpg,0,0,5
CelebA/img_align_celeba/000142.jpg,1,1,6
CelebA/img_align_celeba/000144.jpg,0,0,5
CelebA/img_align_celeba/000146.jpg,1,1,9
CelebA/img_align_celeba/000156.jpg,0,1,4
CelebA/img_align_celeba/000158.jpg,1,0,8
CelebA/img_align_celeba/000165.jpg,1,1,8
CelebA/img_align_celeba/000169.jpg,1,0,4
CelebA/img_align_celeba/000174.jpg,0,1,6
CelebA/img_align_celeba/000176.jpg,0,1,8
CelebA/img_align_celeba/000178.jpg,0,1,9
CelebA/img_align_celeba/000180.jpg,1,1,5
CelebA/img_align_celeba/000184.jpg,0,1,6
CelebA/img_align_celeba/000190.jpg,0,1,8
CelebA/img_align_celeba/000194.jpg,1,0,8
CelebA/img_align_celeba/000199.jpg,1,0,6
CelebA/img_align_celeba/000201.jpg,1,1,6
CelebA/img_align_celeba/000202.jpg,0,0,3
CelebA/img_align_celeba/000204.jpg,0,1,3
CelebA/img_align_celeba/000205.jpg,1,0,1
CelebA/img_align_celeba/000206.jpg,1,0,8
CelebA/img_align_celeba/000207.jpg,1,1,5
CelebA/img_align_celeba/000208.jpg,1,1,1
CelebA/img_align_celeba/000209.jpg,0,0,9
CelebA/img_align_celeba/000210.jpg,1,0,10
CelebA/img_align_celeba/000213.jpg,0,0,6
CelebA/img_align_celeba/000215.jpg,1,0,4
CelebA/img_align_celeba/000218.jpg,0,1,1
CelebA/img_align_celeba/000226.jpg,0,0,3
CelebA/img_align_celeba/000234.jpg,0,0,2
CelebA/img_align_celeba/000238.jpg,1,1,1
CelebA/img_align_celeba/000241.jpg,0,1,2
CelebA/img_align_celeba/000242.jpg,1,0,1
CelebA/img_align_celeba/000247.jpg,1,1,2
CelebA/img_align_celeba/000248.jpg,0,0,6
CelebA/img_align_celeba/000252.jpg,0,1,1
CelebA/img_align_celeba/000260.jpg,1,1,1
CelebA/img_align_celeba/000261.jpg,1,0,2
CelebA/img_align_celeba/000268.jpg,0,1,1
CelebA/img_align_celeba/000271.jpg,0,1,2
CelebA/img_align_celeba/000273.jpg,0,1,8
CelebA/img_align_celeba/000277.jpg,1,0,2
CelebA/img_align_celeba/000280.jpg,0,1,7
CelebA/img_align_celeba/000281.jpg,0,1,6
CelebA/img_align_celeba/000291.jpg,0,1,6
CelebA/img_align_celeba/000293.jpg,1,0,5
CelebA/img_align_celeba/000299.jpg,0,0,1
CelebA/img_align_celeba/000301.jpg,0,1,3
CelebA/img_align_celeba/000306.jpg,0,0,1
CelebA/img_align_celeba/000307.jpg,0,0,4
CelebA/img_align_celeba/000310.jpg,0,0,3
CelebA/img_align_celeba/000311.jpg,1,0,3
CelebA/img_align_celeba/000313.jpg,0,0,5
CelebA/img_align_celeba/000315.jpg,1,1,4
CelebA/img_align_celeba/000316.jpg,0,0,4
CelebA/img_align_celeba/000320.jpg,1,0,6
CelebA/img_align_celeba/000321.jpg,0,0,6
CelebA/img_align_celeba/000324.jpg,0,0,8
CelebA/img_align_celeba/000329.jpg,0,0,5
CelebA/img_align_celeba/000330.jpg,0,0,6
CelebA/img_align_celeba/000332.jpg,1,1,1
CelebA/img_align_celeba/000336.jpg,1,0,2
CelebA/img_align_celeba/000338.jpg,0,1,6
CelebA/img_align_celeba/000339.jpg,1,0,5
CelebA/img_align_celeba/000340.jpg,0,0,3
CelebA/img_align_celeba/000341.jpg,1,1,10
CelebA/img_align_celeba/000342.jpg,1,1,4
CelebA/img_align_celeba/000344.jpg,0,1,4
CelebA/img_align_celeba/000348.jpg,1,1,8
CelebA/img_align_celeba/000353.jpg,1,1,7
CelebA/img_align_celeba/000357.jpg,0,1,5
CelebA/img_align_celeba/000358.jpg,0,0,6
CelebA/img_align_celeba/000359.jpg,0,1,9
CelebA/img_align_celeba/000366.jpg,0,0,1
CelebA/img_align_celeba/000374.jpg,1,1,7
CelebA/img_align_celeba/000375.jpg,0,1,3
CelebA/img_align_celeba/000376.jpg,0,0,10
CelebA/img_align_celeba/000377.jpg,1,0,7
CelebA/img_align_celeba/000378.jpg,1,0,2
CelebA/img_align_celeba/000379.jpg,1,1,2
CelebA/img_align_celeba/000381.jpg,0,1,10
CelebA/img_align_celeba/000382.jpg,1,1,6
CelebA/img_align_celeba/000383.jpg,0,0,8
CelebA/img_align_celeba/000385.jpg,1,0,10
CelebA/img_align_celeba/000386.jpg,0,0,5
CelebA/img_align_celeba/000389.jpg,0,0,9
CelebA/img_align_celeba/000392.jpg,1,1,6
CelebA/img_align_celeba/000393.jpg,0,0,7
CelebA/img_align_celeba/000396.jpg,0,1,8
CelebA/img_align_celeba/000397.jpg,1,1,7
CelebA/img_align_celeba/000401.jpg,1,0,4
CelebA/img_align_celeba/000406.jpg,1,0,10
CelebA/img_align_celeba/000409.jpg,1,0,5
CelebA/img_align_celeba/000410.jpg,0,1,1
CelebA/img_align_celeba/000412.jpg,1,1,8
CelebA/img_align_celeba/000413.jpg,1,0,1
CelebA/img_align_celeba/000416.jpg,1,0,3
CelebA/img_align_celeba/000418.jpg,0,0,10
CelebA/img_align_celeba/000419.jpg,0,1,9
CelebA/img_align_celeba/000420.jpg,0,1,3
CelebA/img_align_celeba/000424.jpg,0,1,9
CelebA/img_align_celeba/000429.jpg,1,0,3
CelebA/img_align_celeba/000431.jpg,0,1,2
CelebA/img_align_celeba/000433.jpg,0,0,5
CelebA/img_align_celeba/000434.jpg,1,0,10
CelebA/img_align_celeba/000436.jpg,0,1,3
CelebA/img_align_celeba/000441.jpg,0,1,5
CelebA/img_align_celeba/000444.jpg,0,0,8
CelebA/img_align_celeba/000447.jpg,0,0,3
CelebA/img_align_celeba/000450.jpg,0,0,3
CelebA/img_align_celeba/000458.jpg,0,1,9
CelebA/img_align_celeba/000462.jpg,0,1,5
CelebA/img_align_celeba/000465.jpg,0,0,4
CelebA/img_align_celeba/000466.jpg,1,1,3
CelebA/img_align_celeba/000470.jpg,0,1,9
CelebA/img_align_celeba/000482.jpg,1,0,9
CelebA/img_align_celeba/000486.jpg,1,0,8
CelebA/img_align_celeba/000488.jpg,1,1,7
CelebA/img_align_celeba/000489.jpg,0,1,6
CelebA/img_align_celeba/000490.jpg,1,0,5
CelebA/img_align_celeba/000494.jpg,1,1,5
CelebA/img_align_celeba/000498.jpg,0,0,6
CelebA/img_align_celeba/000499.jpg,1,1,5
CelebA/img_align_celeba/000506.jpg,1,1,9
CelebA/img_align_celeba/000508.jpg,0,1,4
